OBJECTID,Census_Tract,EHD_Rank,SHAPE_Length,SHAPE_Area
1,53053062000,10,9852.89726006332,4550107.83811024
2,53053071601,10,12777.8206306571,8723991.48474217
3,53053073111,7,14200.8870723497,8057220.76774044
4,53053940007,10,10220.3977913778,5453214.80028877
5,53053940006,10,8624.02485565351,3954283.83383151
6,53053073116,3,25342.6688253884,34719611.4268366
7,53053072800,3,38988.3136534855,50699567.0933972
8,53053072107,5,14541.0468525272,10913592.1445211
9,53053071703,9,9709.50276852536,1993701.3475191
10,53053073113,7,31969.3153060928,39864826.3039288
11,53053072506,2,35572.9310877208,60040408.0763092
12,53053071411,7,14029.5031398416,7281971.01752309
13,53053071410,7,18707.3182931883,12641622.7429031
14,53053072308,5,32424.8613942969,36741195.7561344
15,53053940010,7,29463.2795192637,19857076.0043522
16,53053071409,8,10111.7816394469,4585684.03038269
17,53053073302,8,16171.6623071993,6656507.53974302
18,53053071803,9,17886.2026648459,9957856.6024142
19,53053073115,5,17207.7309330674,14750328.7874605
20,53053072106,9,12512.941123608,7363257.09806408
21,53053072105,6,15871.5064275995,10141232.5473797
22,53053062600,10,28138.6567486108,15067400.9116689
23,53053073200,2,190464.187995669,1195569293.76493
24,53053072410,2,38541.0905862823,83382798.9076122
25,53053073110,5,17871.3344788109,12530020.4007459
26,53053073108,7,21638.6297137037,21354489.6054772
27,53053071902,9,24635.8988984483,19594364.7965394
28,53053072307,6,10566.3034105964,4232697.86691792
29,53053072311,7,11888.7805113334,5311843.15974321
30,53053072109,1,27357.3563969238,31577297.9464711
31,53053072407,6,27309.7510307915,20689665.8405067
32,53053073001,3,53617.5562662215,140209609.113031
33,53053070100,3,351469.482193838,4102420406.22227
34,53053073006,2,84043.3805601148,260700619.247259
35,53053070206,4,62629.7415289888,85035356.0422476
36,53053071506,7,16361.6131512031,8488470.95061424
37,53053071504,10,9813.22114457555,5729191.96095021
38,53053070309,4,28654.1866565915,25072615.8209362
39,53053063501,10,8148.86772532351,4159530.1983012
40,53053071901,10,16531.9309250188,9024736.98328592
41,53053062900,10,14993.2771209506,6456321.80173361
42,53053063000,9,11129.6720925437,4773370.39059584
43,53053070401,8,27120.3128887184,21058363.6934007
44,53053063502,9,8302.29591944765,4190046.93100771
45,53053072405,1,41059.5141905301,59120163.7080643
46,53053061200,9,8061.74487498966,4100678.66786921
47,53053073404,7,16235.6084245055,13854180.0539481
48,53053073005,3,45331.6722086311,115732835.476813
49,53053072504,5,38498.8467027225,49287043.0429279
50,53053072309,5,17387.928530263,11976540.7977108
51,53053060300,6,24584.0587488714,33426964.7845845
52,53053071706,10,12161.9441905248,3507844.61917741
53,53053071705,9,9905.97940427222,5167034.15070037
54,53053071704,9,8191.38047794239,2924604.00190112
55,53053072408,5,30901.2614942217,44391573.267819
56,53053071403,8,14767.314606415,13153813.9227924
57,53053070207,2,41358.7857844632,72122111.3806902
58,53053071209,6,9859.02582418176,5026346.32389991
59,53053072406,4,28062.2321329893,36507999.9148638
